n,add,subtract,multiply,divide,logaddexp,logaddexp2,true_divide,floor_divide,power,float_power,remainder,mod,fmod,divmod,heaviside,gcd,lcm
1,2.5403e-05,2.6133000000000002e-05,2.5071e-05,2.7327e-05,2.8834000000000002e-05,2.9102e-05,2.7465000000000002e-05,3.2806000000000004e-05,3.3323e-05,2.7551e-05,3.257e-05,3.2188000000000004e-05,3.1739e-05,4.7428e-05,2.7129e-05,2.593e-05,2.5738000000000003e-05
2,2.5176e-05,2.6108e-05,2.5222e-05,2.7431000000000002e-05,2.9487e-05,3.0246e-05,2.7508e-05,3.317e-05,3.4551e-05,2.8612000000000003e-05,3.2656e-05,3.2561e-05,3.2539e-05,4.8357000000000005e-05,2.7459000000000003e-05,2.7308e-05,2.729e-05
4,2.5446e-05,2.5905e-05,2.5099e-05,2.7280000000000003e-05,3.0890000000000004e-05,3.1096e-05,2.7606000000000003e-05,3.332e-05,3.5557000000000005e-05,2.9569e-05,3.2970000000000005e-05,3.2791000000000005e-05,3.2717000000000005e-05,4.8557e-05,2.7446e-05,2.7948e-05,2.8102000000000003e-05
8,2.532e-05,2.5994000000000002e-05,2.5200000000000003e-05,2.7456000000000003e-05,3.3588000000000004e-05,3.3428e-05,2.7717000000000002e-05,3.4483e-05,3.8972000000000006e-05,3.2615000000000005e-05,3.3702000000000004e-05,3.3078000000000004e-05,3.304e-05,4.9422e-05,2.7425000000000003e-05,3.2194000000000004e-05,3.2478e-05
16,2.5558e-05,2.6351000000000002e-05,2.5690000000000003e-05,2.7994000000000003e-05,3.8557000000000004e-05,3.7914e-05,2.8031000000000003e-05,3.6410000000000005e-05,4.4739e-05,3.8705e-05,3.5034000000000004e-05,3.4662e-05,3.4893e-05,5.1763000000000006e-05,2.7671000000000003e-05,3.9409e-05,4.0286e-05
32,2.5797e-05,2.6151e-05,2.5976e-05,2.8625e-05,4.8751e-05,4.7357e-05,2.8727e-05,4.0978e-05,5.6317e-05,4.9927000000000005e-05,3.803e-05,3.8098e-05,3.7889e-05,5.7039e-05,2.8326000000000003e-05,5.1759000000000004e-05,5.2597000000000005e-05
64,2.6541000000000002e-05,2.7083e-05,2.7011000000000003e-05,3.0104000000000002e-05,6.9214e-05,6.5079e-05,3.0187e-05,4.7498000000000005e-05,7.8774e-05,7.252800000000001e-05,4.3446000000000004e-05,4.3224000000000005e-05,4.271e-05,6.5054e-05,2.9246e-05,7.506e-05,7.771e-05
128,3.12e-05,3.1274e-05,3.2080000000000005e-05,3.5971000000000005e-05,0.000114284,0.000105159,3.716e-05,6.6937e-05,0.000131392,0.00012378,5.9433000000000005e-05,5.7824e-05,5.7501000000000004e-05,8.845100000000001e-05,3.5313e-05,0.00012654000000000002,0.000131392
256,3.4193e-05,3.3917e-05,3.4427e-05,4.3473e-05,0.000194865,0.000179302,4.2505e-05,0.000100455,0.00022224700000000002,0.00021671100000000002,8.163e-05,8.258400000000001e-05,8.0722e-05,0.000125334,3.9492e-05,0.00023020400000000002,0.00024231800000000002
512,4.3209000000000006e-05,4.3227000000000005e-05,4.4378e-05,5.7427000000000004e-05,0.000360024,0.00032747600000000005,5.7688e-05,0.00017290600000000001,0.00040966300000000005,0.00040160200000000004,0.00013828200000000002,0.000138128,0.00013736800000000002,0.000204484,5.509800000000001e-05,0.00043042600000000003,0.000451758
1024,5.2846e-05,5.2501000000000004e-05,5.6756000000000003e-05,8.094700000000001e-05,0.000681478,0.000616427,8.1196e-05,0.00030928,0.000765678,0.0007584050000000001,0.000240699,0.00023927100000000002,0.00023578300000000002,0.00035404800000000004,7.4738e-05,0.000835317,0.0008806370000000001
2048,7.819000000000001e-05,7.888200000000001e-05,8.4368e-05,0.00012526,0.0013260420000000001,0.001199837,0.000125276,0.000584779,0.001480004,0.0014717670000000001,0.000447974,0.00045036800000000004,0.00043736800000000004,0.000651304,0.00012101100000000001,0.001640058,0.0017255530000000001
4096,0.00012222400000000001,0.000128682,0.000130226,0.00020922600000000002,0.0026136560000000002,0.002362332,0.00020925000000000002,0.001142405,0.002963869,0.0028958540000000002,0.000874152,0.000873804,0.0008521430000000001,0.001251367,0.00021134900000000003,0.003248543,0.003422235
8192,0.000201856,0.00020673000000000002,0.000217392,0.00037494700000000004,0.005174362,0.004680616,0.00037507400000000003,0.002236037,0.005759349,0.005754678,0.001692783,0.0016927,0.001646771,0.0024343760000000002,0.000382947,0.006486639000000001,0.006822169
16384,0.000442817,0.00045468900000000004,0.00046479000000000003,0.0007261510000000001,0.010366729,0.009366310000000001,0.0007246830000000001,0.0044218140000000005,0.011563165,0.011797079,0.003362149,0.003357365,0.003273737,0.004827495,0.0007448470000000001,0.012916846000000001,0.013627037000000002
32768,0.0011355640000000001,0.0011569940000000002,0.001155659,0.0015190750000000002,0.020715017000000002,0.018674374,0.0015140070000000002,0.008848116000000001,0.023284970000000002,0.023327545,0.006652822,0.006660640000000001,0.006521661000000001,0.009669253000000001,0.0015309680000000002,0.025915146,0.027307822000000002
65536,0.0036585280000000003,0.003657088,0.003700137,0.004312255,0.042879927000000005,0.038850952,0.00478796,0.018831029000000003,0.04903139,0.04817438,0.014440181000000002,0.014443790000000001,0.014388905,0.021940663000000003,0.004191731000000001,0.051804741,0.054692181000000006
131072,0.007399809,0.007424824000000001,0.007500538,0.008583441,0.087888725,0.078495282,0.008551513,0.038862366,0.09889318600000001,0.09989682200000001,0.028940505000000002,0.028924647,0.028692151000000003,0.043977296000000006,0.008447679000000001,0.10499270100000001,0.110596922
262144,0.014605111,0.014633824,0.015103299,0.017020192,0.17462127500000002,0.15674911600000002,0.017063473000000003,0.075677035,0.198170869,0.198968588,0.057865921,0.058048404000000005,0.057608706,0.088769763,0.016683453,0.21062757000000001,0.22156001800000003
524288,0.02755815,0.028823318,0.029241061000000002,0.033891149,0.34808133100000005,0.319481038,0.034086872000000004,0.152330491,0.399382351,0.396314141,0.116967764,0.116170111,0.115738509,0.17855901700000001,0.032980687,0.421273316,0.44406585600000004
1048576,0.057897125,0.05879623900000001,0.059453213000000005,0.075630369,0.7313424860000001,0.631495653,0.07706309700000001,0.315924888,0.8292203560000001,0.79334437,0.234713986,0.234594444,0.253708011,0.35850476600000003,0.065752713,0.8563530720000001,0.8869150060000001
2097152,0.12675017,0.126796603,0.128880241,0.14662972700000002,1.38907278,1.256162076,0.143787769,0.647865496,1.685387881,1.588141806,0.47018874400000005,0.48307877000000005,0.47238172500000003,0.700564751,0.143456455,1.7193812720000001,1.804367352
4194304,0.22928651100000003,0.250245096,0.256094129,0.31791636100000004,2.851917169,2.558557367,0.31598797100000003,1.2825753670000002,3.240065012,3.2447657420000002,0.9750395460000001,0.980055007,0.9770040480000001,1.44479784,0.302770886,3.371597077,3.5414869400000004
8388608,0.467312724,0.5439238040000001,0.5230292790000001,0.6432532240000001,5.707372032,5.10893741,0.6392553980000001,2.589905979,6.4648941230000005,6.356864484000001,1.9973016360000002,1.9234298730000001,2.004359759,3.1364407930000002,0.670405251,6.8226679400000005,7.179423758
16777216,44.958412922,12.951833462000002,14.528154835,14.637579195,29.678634344000002,21.542703823,9.137304528000001,10.76154099,20.373748279,23.166908643000003,15.755455963000001,23.457362902,12.274895784,41.365170892,29.299100237,52.840739311,14.527122806000001
