n,bitwise_and,bitwise_or,bitwise_xor,left_shift,right_shift
1,2.5951000000000003e-05,2.5612e-05,2.5791e-05,2.5096e-05,2.5172000000000002e-05
2,2.5837e-05,2.5714e-05,2.5748e-05,2.54e-05,2.5225e-05
4,2.5794e-05,2.5607e-05,2.5794e-05,2.5518000000000002e-05,2.5532000000000002e-05
8,2.6068000000000002e-05,2.5723e-05,2.6068000000000002e-05,2.5754e-05,2.5348000000000002e-05
16,2.6096000000000002e-05,2.5797e-05,2.6062000000000002e-05,2.5615e-05,2.5255e-05
32,2.5843000000000003e-05,2.5717e-05,2.5923000000000002e-05,2.5566000000000002e-05,2.5563000000000002e-05
64,2.6144000000000002e-05,2.6281e-05,2.6554e-05,2.6268000000000003e-05,2.6403e-05
128,2.7102000000000002e-05,2.6966000000000002e-05,2.7009000000000002e-05,2.6927e-05,2.7197e-05
256,3.2437e-05,3.2141e-05,3.2348e-05,3.3019000000000004e-05,3.3157e-05
512,3.9606e-05,3.9726000000000006e-05,3.948e-05,4.1068e-05,4.0761000000000005e-05
1024,4.5729e-05,4.6280000000000004e-05,4.6305000000000005e-05,4.7736000000000005e-05,4.9508e-05
2048,6.369000000000001e-05,6.1875e-05,6.2037e-05,6.5329e-05,6.8991e-05
4096,9.650500000000001e-05,9.472400000000001e-05,9.5926e-05,9.7037e-05,0.00011106600000000001
8192,0.00013816700000000002,0.000137471,0.000137595,0.000149164,0.000164029
16384,0.00028507900000000004,0.000286547,0.000286192,0.00030672800000000004,0.000324765
32768,0.0005909400000000001,0.000568253,0.0005919790000000001,0.000646463,0.0006966850000000001
65536,0.001319855,0.0012650390000000001,0.001326886,0.0013764740000000001,0.0014171820000000001
131072,0.004094543,0.0039732710000000004,0.003985136,0.003986905000000001,0.004065691000000001
262144,0.007603503,0.007501148000000001,0.0076942880000000005,0.007649663,0.007877566
524288,0.014925351000000002,0.014903869,0.014977241,0.015497359,0.015588868
1048576,0.027949598000000003,0.029787435,0.030552419,0.030376966000000002,0.031050097000000002
2097152,0.060731529000000006,0.059337491000000006,0.060846745,0.061996489,0.063157342
4194304,0.12399984400000001,0.131610461,0.12498460200000001,0.13876823700000002,0.131129547
8388608,0.26287208500000003,0.255812254,0.25568377000000003,0.267693931,0.265493464
16777216,0.49937090700000003,0.524979626,0.520198183,0.5714633370000001,0.6063887680000001
