n,dot,inner
1,4.6231000000000005e-05,4.9366e-05
2,4.6862e-05,5.1043000000000006e-05
4,4.7667e-05,5.4686000000000005e-05
8,4.8181000000000005e-05,5.072e-05
16,4.7631000000000005e-05,5.1514e-05
32,4.8191e-05,6.5877e-05
64,4.8212000000000005e-05,6.464900000000001e-05
128,4.9268e-05,5.2382e-05
256,5.0184000000000006e-05,5.3892000000000005e-05
512,5.5065e-05,5.7957e-05
1024,6.294800000000001e-05,6.4237e-05
2048,8.1864e-05,8.3732e-05
4096,0.000115619,0.00011686200000000001
8192,0.000177206,0.000178616
16384,0.00030188000000000003,0.00030314800000000005
32768,0.000703258,0.000699511
65536,0.001522446,0.001522652
131072,0.003039356,0.0030472100000000003
262144,0.006027981,0.006027819
524288,0.011919215,0.011905034
1048576,0.023692535,0.023702613
2097152,0.047955003,0.047947113
4194304,0.10207353200000001,0.10690764300000001
8388608,0.21018087300000002,0.20710413200000002
16777216,0.480254147,0.43051462100000004
