n,fft,ifft,fft2,ifft2,rfft,irfft,rfft2,irfft2
4,8.622500000000001e-05,8.832700000000001e-05,0.000503721,0.000507966,9.5309e-05,0.000149974,0.000487296,0.000498684
8,0.00010277000000000001,8.5986e-05,0.00053166,0.000513678,8.467500000000001e-05,0.00015745600000000002,0.000491318,0.0005290070000000001
16,9.744e-05,9.1229e-05,0.00053521,0.000509646,9.0102e-05,0.000174691,0.000493068,0.000566457
32,9.762200000000001e-05,9.682600000000001e-05,0.00052908,0.000532634,9.0671e-05,0.00019817,0.0005123630000000001,0.0005748320000000001
64,0.000118444,0.000115854,0.0005276440000000001,0.000534173,0.000104004,0.000218211,0.000503484,0.0006064600000000001
128,0.000136407,0.000145321,0.0005845430000000001,0.0005951950000000001,0.00012383200000000002,0.00045065500000000006,0.000565595,0.000645725
256,0.00017418200000000002,0.000181611,0.00058102,0.0005979550000000001,0.00014883800000000001,0.00035848300000000004,0.000550607,0.000689734
512,0.000255223,0.000258639,0.000734866,0.0007652020000000001,0.000197888,0.00078724,0.000661346,0.0008678150000000001
1024,0.000408775,0.000414704,0.000801212,0.000858791,0.000286771,0.0010535520000000001,0.000675521,0.001326661
2048,0.0007567990000000001,0.000829649,0.001289046,0.001362794,0.00047336300000000003,0.0033600170000000003,0.000952053,0.0017003510000000001
4096,0.0014763360000000002,0.001617174,0.0017959450000000002,0.00190042,0.0008742460000000001,0.0038795780000000003,0.001143845,0.002690739
8192,0.003523308,0.0036113430000000004,0.003583376,0.004148931000000001,0.0018721270000000001,0.085600565,0.002145695,0.013088428000000001
16384,0.010003434,0.008729434000000001,0.006502489,0.0073880280000000005,0.004195107,0.046487849000000005,0.003289672,0.035000155000000005
32768,0.026451603,0.028039867000000003,0.09658414200000001,0.09671476400000001,0.012407996000000001,0.12209249400000001,0.075949076,0.062295029
65536,0.056789851,0.061708790000000006,0.035221782,0.039132,0.031395742000000004,0.37394009300000003,0.014877247000000001,0.060727264
131072,0.141650107,0.141667719,0.43227762200000003,0.44665692100000004,0.077265267,2.189239111,0.275976679,0.324447376
262144,0.359003503,0.297668227,0.164838024,0.19647,0.181784899,0.934579586,0.06866970700000001,0.41128939400000003
524288,0.618300323,0.663618472,1.875959928,1.989610772,0.361250006,8.539119137,1.104002988,2.444162909
1048576,1.3875702600000002,1.4983169660000002,0.741202196,0.780466145,0.8484414320000001,3.56768403,0.346695232,1.382197058
2097152,2.9982599420000002,3.049979812,8.960571517,9.001104847,1.673184161,22.028243125000003,4.20216815,14.89652047
4194304,5.896758333,6.213379061,3.6983720960000004,4.078374810000001,3.233569031,86.98333793,3.1730905820000004,9.127302451
