n,greater,greater_equal,less,less_equal,not_equal,equal,logical_and,logical_or,logical_xor,maximum,minimum,fmax,fmin
1,2.2170000000000003e-05,2.2012000000000002e-05,2.2203e-05,2.1643000000000003e-05,2.1761e-05,2.2221000000000003e-05,2.1957e-05,2.2105000000000003e-05,2.1945e-05,2.1754000000000002e-05,2.2247000000000002e-05,2.2013e-05,2.2086e-05
2,2.1739e-05,2.1887000000000002e-05,2.1969000000000003e-05,2.173e-05,2.2154e-05,2.2053e-05,2.2157e-05,2.1853000000000002e-05,2.1781e-05,2.1831e-05,2.2360000000000003e-05,2.2194e-05,2.1991e-05
4,2.2274e-05,2.233e-05,2.2255000000000003e-05,2.2148000000000002e-05,2.2148000000000002e-05,2.2164e-05,2.1994e-05,2.2305e-05,2.1828000000000002e-05,2.1945e-05,2.2252e-05,2.2052e-05,2.2167e-05
8,2.1717000000000002e-05,2.1865e-05,2.1834e-05,2.1899e-05,2.1997000000000003e-05,2.2252e-05,2.2096e-05,2.2298000000000002e-05,2.1853000000000002e-05,2.2041e-05,2.2132e-05,2.2046000000000002e-05,2.197e-05
16,2.2166e-05,2.2210000000000002e-05,2.2428000000000003e-05,2.2283e-05,2.2210000000000002e-05,2.2782e-05,2.2502000000000002e-05,2.2893000000000003e-05,2.2375000000000002e-05,2.2360000000000003e-05,2.2628e-05,2.2462000000000003e-05,2.2376e-05
32,2.2237e-05,2.2468000000000002e-05,2.2003000000000003e-05,2.2059e-05,2.2228e-05,2.2486e-05,2.2345e-05,2.2474000000000002e-05,2.2286e-05,2.2080000000000002e-05,2.2409000000000002e-05,2.2474000000000002e-05,2.2206e-05
64,2.2865000000000002e-05,2.2791000000000003e-05,2.281e-05,2.2899000000000002e-05,2.2735000000000002e-05,2.2778e-05,2.2837000000000002e-05,2.3087e-05,2.3114000000000003e-05,2.3084e-05,2.3231000000000002e-05,2.3034e-05,2.3037e-05
128,2.3089000000000002e-05,2.3409000000000002e-05,2.3061e-05,2.3129e-05,2.3302e-05,2.3483000000000002e-05,2.3317e-05,2.3243e-05,2.3449000000000002e-05,2.3462e-05,2.3627000000000003e-05,2.3686e-05,2.3446000000000002e-05
256,2.4717e-05,2.517e-05,2.5188e-05,2.5314000000000002e-05,2.4822e-05,2.5554000000000003e-05,2.6037e-05,2.5369e-05,2.6194e-05,2.9874000000000002e-05,2.9324000000000002e-05,2.9816e-05,2.9166e-05
512,3.3988e-05,3.2674e-05,3.3311e-05,3.2296000000000004e-05,3.0194000000000003e-05,3.2967000000000005e-05,3.3955e-05,3.256e-05,3.468e-05,3.6461e-05,3.7665e-05,4.0403e-05,3.4982000000000005e-05
1024,4.2717000000000005e-05,4.3797e-05,4.3474000000000004e-05,4.4299000000000004e-05,4.1025e-05,4.6524000000000004e-05,4.3886e-05,4.3609e-05,4.6637e-05,4.3321e-05,4.2576e-05,4.3400000000000005e-05,4.284e-05
2048,6.215100000000001e-05,6.0164e-05,6.091400000000001e-05,5.9791000000000004e-05,5.5782e-05,6.3142e-05,6.089e-05,5.9631000000000006e-05,6.6893e-05,6.1702e-05,6.1887e-05,6.215700000000001e-05,6.214500000000001e-05
4096,9.2312e-05,9.532400000000001e-05,9.2718e-05,9.9468e-05,8.4425e-05,9.811800000000001e-05,9.790200000000001e-05,9.222800000000001e-05,0.000108573,9.563200000000001e-05,9.197300000000001e-05,9.844e-05,9.177600000000001e-05
8192,0.000175254,0.000176118,0.000176968,0.000176069,0.00015692400000000002,0.00018437,0.000181411,0.000174491,0.000206211,0.000167235,0.00017086300000000002,0.000173487,0.000170518
16384,0.00031755,0.000317984,0.000318304,0.00033442700000000004,0.00027971500000000004,0.00035246100000000004,0.00032673800000000003,0.000316941,0.00037859600000000003,0.00029923,0.000309919,0.000299335,0.00030958
32768,0.0005224870000000001,0.000522863,0.000522832,0.0005243600000000001,0.000457308,0.000569176,0.000565574,0.0005217640000000001,0.0006474530000000001,0.000542742,0.0005493820000000001,0.000546592,0.0005498100000000001
65536,0.001318619,0.001326314,0.001320585,0.001368721,0.0012187600000000002,0.001430988,0.001347936,0.0013221880000000002,0.0014777000000000002,0.0013617750000000002,0.001395339,0.001363283,0.001395502
