n,invert
1,2.5231000000000003e-05
2,2.5055000000000003e-05
4,2.5209000000000002e-05
8,2.5351000000000002e-05
16,2.5379000000000002e-05
32,2.5114e-05
64,2.6077e-05
128,2.6200000000000003e-05
256,3.1259e-05
512,3.669e-05
1024,4.1824000000000005e-05
2048,4.9895e-05
4096,6.4696e-05
8192,0.000114493
16384,0.000196676
32768,0.000374932
65536,0.000900948
131072,0.003229481
262144,0.006390449
524288,0.012869881000000001
1048576,0.025810589000000002
2097152,0.04831237
4194304,0.10079887300000001
8388608,0.212315198
16777216,0.39977249400000003
