n,isfinite,isinf,isnan,fabs,signbit,spacing,modf,frexp,floor,ceil,trunc
1,2.8394000000000003e-05,2.7895000000000003e-05,2.8126e-05,2.3225000000000002e-05,2.3683e-05,2.3846000000000002e-05,3.7471e-05,3.7782000000000005e-05,2.3523e-05,2.3767e-05,2.3594e-05
2,2.8213000000000002e-05,2.7994000000000003e-05,2.805e-05,2.3286e-05,2.3677e-05,2.3880000000000002e-05,3.7653e-05,3.765e-05,2.3409000000000002e-05,2.3791000000000003e-05,2.3427e-05
4,2.8074000000000003e-05,2.8224000000000003e-05,2.8241000000000003e-05,2.324e-05,2.3548000000000002e-05,2.4025e-05,3.7388e-05,3.7677000000000005e-05,2.3653000000000002e-05,2.413e-05,2.3791000000000003e-05
8,2.8234e-05,2.8120000000000002e-05,2.828e-05,2.3520000000000002e-05,2.3480000000000002e-05,2.4262000000000003e-05,3.7640000000000006e-05,3.7689000000000005e-05,2.3687000000000002e-05,2.4176e-05,2.3865000000000003e-05
16,2.8295000000000003e-05,2.8120000000000002e-05,2.8187000000000003e-05,2.3049000000000002e-05,2.3480000000000002e-05,2.4102e-05,3.7859000000000005e-05,3.8314e-05,2.4004000000000003e-05,2.4212e-05,2.4255e-05
32,2.8318000000000002e-05,2.824e-05,2.8258000000000003e-05,2.3784e-05,2.3815e-05,2.4772000000000003e-05,3.8699e-05,3.8736e-05,2.4604e-05,2.4941e-05,2.5376000000000002e-05
64,2.9138e-05,2.8797000000000002e-05,2.8698000000000002e-05,2.3988e-05,2.3714e-05,2.5963000000000002e-05,3.9723000000000006e-05,4.0655e-05,2.5859e-05,2.6126e-05,2.6382000000000003e-05
128,3.0290000000000003e-05,3.0613e-05,2.9720000000000003e-05,2.9502000000000003e-05,2.4729e-05,3.3295e-05,4.8535e-05,4.8616000000000003e-05,3.2865000000000005e-05,3.3886e-05,3.5483e-05
256,3.3711e-05,3.3345e-05,3.1881e-05,3.2099e-05,2.6132000000000003e-05,3.9058000000000004e-05,5.3948000000000006e-05,5.6945000000000005e-05,3.7289e-05,3.9293000000000005e-05,4.0391e-05
512,4.16e-05,4.3991e-05,3.9671e-05,5.8616e-05,5.0077e-05,5.2988e-05,6.9422e-05,7.4001e-05,5.4037000000000005e-05,5.4846e-05,5.810800000000001e-05
1024,5.7265e-05,5.752400000000001e-05,5.1086000000000005e-05,4.8545000000000004e-05,4.2354e-05,7.4776e-05,9.156000000000001e-05,0.000100278,7.343700000000001e-05,7.921000000000001e-05,8.6563e-05
2048,8.379700000000001e-05,8.276400000000001e-05,7.261000000000001e-05,6.6684e-05,5.7518e-05,0.000121392,0.000144811,0.000157789,0.000124933,0.000134373,0.000169013
4096,0.000140705,0.000139884,0.00011968100000000001,0.000103453,9.4127e-05,0.000219762,0.00023146100000000003,0.000266362,0.000222663,0.00023952800000000003,0.000271808
8192,0.00025074,0.00024919300000000004,0.00021028100000000001,0.00017649900000000002,0.00016098300000000001,0.00040887700000000004,0.00042753500000000005,0.00047308900000000005,0.00045542200000000003,0.00044514500000000004,0.0005883980000000001
16384,0.00046309300000000003,0.00046072400000000003,0.00043249900000000003,0.000329288,0.000288793,0.0007795230000000001,0.0008022210000000001,0.0008934500000000001,0.000872652,0.000850403,0.000991453
32768,0.000890536,0.0008899940000000001,0.0007345440000000001,0.0009121600000000001,0.000586352,0.0015685800000000002,0.001709021,0.0017935730000000001,0.001827234,0.001708305,0.001973433
65536,0.001859877,0.0018590750000000002,0.001621809,0.0027141580000000004,0.001389065,0.004353914,0.004665132000000001,0.004741375,0.004745301,0.004795243,0.005220104000000001
131072,0.0038228510000000004,0.0038125200000000002,0.003480293,0.006016347,0.0032186040000000003,0.008568485,0.011550393,0.012373706,0.009540031000000001,0.009591357,0.010615906000000001
262144,0.007644236,0.007642380000000001,0.007086342000000001,0.011596263,0.006558437,0.017978798,0.023031148,0.022864870000000002,0.019077997000000003,0.019175397,0.021266517000000002
524288,0.016699328,0.015265074000000002,0.01565675,0.025060971,0.014537841000000001,0.035957215,0.045970965,0.045716281000000004,0.038005115,0.038505476000000004,0.042733281000000005
1048576,0.033631056,0.033295774,0.031318378,0.047549684,0.029029827,0.082825358,0.10259948,0.093637805,0.07659837300000001,0.076569258,0.089510803
2097152,0.06973441100000001,0.06962372,0.064273627,0.106593403,0.060116567,0.16826658500000002,0.19650334500000002,0.200716011,0.155431273,0.169913956,0.207905989
4194304,0.144829594,0.144856601,0.137286486,0.24695671100000002,0.127908345,0.32103858300000004,0.393423422,0.403403628,0.32274052400000003,0.350085327,0.38329080800000004
8388608,0.277554632,0.293017274,0.27289119,0.43003745000000004,0.256996597,0.6360824340000001,0.7945053790000001,0.833882655,0.6682295850000001,0.6807850790000001,0.8246489810000001
16777216,0.5581123520000001,0.587966736,0.540870384,0.8323398940000001,0.557334203,1.126443144,16.793721624,23.946676162000003,4.872049787,1.611266646,1.6955502880000002
