n,matmul
1,3.8576000000000005e-05
2,3.8471000000000005e-05
4,4.2388e-05
8,4.2456e-05
16,4.3305e-05
32,4.4653e-05
64,4.6311000000000004e-05
128,6.1852e-05
256,9.665e-05
512,0.0001901
1024,0.0005066350000000001
2048,0.00125211
4096,0.003649087
8192,0.004311313000000001
16384,0.013859291000000001
32768,0.040603546000000004
65536,0.067395705
131072,0.294098195
262144,0.524950779
524288,1.500276543
1048576,4.404481462000001
2097152,11.677598483
4194304,32.449979064000004
8388608,90.89519709300001
16777216,258.53743135900004
