n,negative,positive,absolute,fabs,rint,sign,conj,conjugate,exp,exp2,log,log2,log10,expm1,log1p,sqrt,square,cbrt,reciprocal
1,2.1424e-05,2.1167000000000002e-05,2.1308e-05,2.3105e-05,2.3702e-05,2.1207000000000002e-05,2.7508e-05,2.7228e-05,2.3982000000000002e-05,2.4104e-05,2.4133e-05,2.4102e-05,2.4945000000000003e-05,2.3797000000000003e-05,2.4052000000000003e-05,2.3446000000000002e-05,2.7557e-05,2.4249e-05,2.8046000000000002e-05
2,2.1372e-05,2.1397000000000002e-05,2.1332000000000002e-05,2.3622000000000002e-05,2.4015000000000003e-05,2.1563e-05,2.7834e-05,2.7785000000000002e-05,2.4665000000000002e-05,2.4650000000000003e-05,2.4889000000000002e-05,2.4203000000000002e-05,2.5526000000000003e-05,2.4434e-05,2.4317e-05,2.3687000000000002e-05,2.7631e-05,2.472e-05,2.8003000000000003e-05
4,2.1883e-05,2.1456000000000003e-05,2.1612000000000002e-05,2.3881e-05,2.4259000000000003e-05,2.1425000000000002e-05,2.7911e-05,2.7867000000000003e-05,2.521e-05,2.5173e-05,2.5600000000000002e-05,2.4927e-05,2.6661e-05,2.508e-05,2.5379000000000002e-05,2.3794000000000003e-05,2.7677000000000003e-05,2.5533e-05,2.8105000000000003e-05
8,2.1524000000000003e-05,2.1385000000000003e-05,2.1542e-05,2.3781e-05,2.4262000000000003e-05,2.1212000000000003e-05,2.7662e-05,2.7600000000000003e-05,2.5954000000000003e-05,2.5899e-05,2.6791e-05,2.5911000000000003e-05,2.8277e-05,2.5957000000000002e-05,2.6083e-05,2.4087e-05,2.7526e-05,2.6769e-05,2.8179000000000002e-05
16,2.1647e-05,2.1253e-05,2.1588e-05,2.3895e-05,2.5095000000000003e-05,2.1726000000000002e-05,2.7881000000000003e-05,2.7831000000000002e-05,2.8431000000000003e-05,2.7665e-05,3.073e-05,2.8059e-05,3.2514e-05,2.8293e-05,2.8290000000000002e-05,2.4714e-05,2.7914e-05,2.9471000000000003e-05,2.8661000000000002e-05
32,2.184e-05,2.1428000000000002e-05,2.2052e-05,2.3981000000000003e-05,2.6065000000000002e-05,2.1825000000000002e-05,2.7998000000000002e-05,2.7803e-05,3.3262e-05,3.1831e-05,3.6964e-05,3.2157000000000004e-05,3.9858000000000004e-05,3.2398000000000004e-05,3.2798e-05,2.5280000000000002e-05,2.8157e-05,3.4687e-05,2.9274e-05
64,2.2132e-05,2.1674000000000003e-05,2.2434000000000002e-05,2.4625000000000002e-05,2.8118e-05,2.2517e-05,2.8434000000000003e-05,2.8114000000000002e-05,4.2121000000000005e-05,3.9385e-05,4.9948000000000004e-05,4.0071e-05,5.4723000000000004e-05,4.1296000000000006e-05,4.1326000000000004e-05,2.6825e-05,2.8807e-05,4.5533000000000006e-05,3.0514000000000003e-05
128,2.6754e-05,2.6738e-05,2.8295000000000003e-05,3.0203000000000002e-05,3.7148000000000004e-05,2.7757000000000002e-05,3.3379e-05,3.3382e-05,6.5435e-05,5.9628000000000006e-05,8.047100000000001e-05,6.0819e-05,8.9881e-05,6.2443e-05,6.3089e-05,3.4686e-05,3.4335e-05,7.128100000000001e-05,3.7738000000000004e-05
256,2.7231e-05,2.6554e-05,2.9692000000000003e-05,3.1071e-05,4.4126000000000004e-05,2.7822000000000002e-05,3.3271e-05,3.3176e-05,9.9641e-05,8.6278e-05,0.00012823200000000002,9.2533e-05,0.00014614600000000002,9.535400000000001e-05,9.626800000000001e-05,4.036e-05,3.5323e-05,0.00011258800000000001,4.2317e-05
512,3.3690000000000004e-05,4.6502e-05,3.9929000000000003e-05,3.8803e-05,6.5536e-05,3.6837e-05,5.4514e-05,4.0333e-05,0.00017528700000000002,0.000147407,0.000229325,0.000161167,0.000266045,0.000166481,0.000169499,5.7185e-05,4.4499e-05,0.00020260500000000002,5.6859000000000006e-05
1024,3.9385e-05,3.7373e-05,5.0333e-05,4.7099000000000004e-05,0.000102526,4.4318000000000005e-05,4.805e-05,4.4535e-05,0.00031539000000000003,0.000262611,0.000426403,0.000299304,0.000498343,0.000304953,0.000309405,8.5856e-05,5.2542000000000006e-05,0.000375338,7.963100000000001e-05
2048,6.1136e-05,5.0287e-05,7.407400000000001e-05,6.7456e-05,0.000178882,6.4905e-05,5.7496000000000007e-05,5.7271e-05,0.000596543,0.0004920780000000001,0.000819219,0.00055638,0.000962487,0.000581956,0.000591811,0.000143607,7.2638e-05,0.0007276670000000001,0.000123998
