n,sin,cos,tan,arctan,sinh,cosh,tanh,arcsinh,degrees,radians,deg2rad,rad2deg,arcsin,arccos,arctanh,arccosh
1,2.5434e-05,2.5871e-05,2.5745e-05,2.5305000000000003e-05,2.5726e-05,2.5495000000000002e-05,2.5634000000000002e-05,2.544e-05,2.4794e-05,2.4865e-05,2.4643e-05,2.4775000000000003e-05,2.5514e-05,2.5388e-05,2.5778000000000003e-05,2.5914000000000003e-05
2,2.5508e-05,2.5939e-05,2.6573e-05,2.5425e-05,2.6027e-05,2.6222e-05,2.6070000000000003e-05,2.6176e-05,2.4575e-05,2.4939000000000003e-05,2.472e-05,2.4514000000000003e-05,2.5951000000000003e-05,2.5597000000000002e-05,2.5828e-05,2.6062000000000002e-05
4,2.6493000000000002e-05,2.7084e-05,2.7696e-05,2.6412e-05,2.6893e-05,2.6815000000000003e-05,2.6757e-05,2.6905e-05,2.4437e-05,2.4902000000000003e-05,2.4782e-05,2.4563000000000002e-05,2.6329e-05,2.6332e-05,2.6976e-05,2.7117e-05
8,2.7708000000000003e-05,2.8191e-05,2.9135e-05,2.8803000000000002e-05,2.8785000000000003e-05,2.8375000000000002e-05,2.8447e-05,2.892e-05,2.4711e-05,2.5013000000000003e-05,2.4662000000000002e-05,2.4837000000000003e-05,2.8027e-05,2.8139000000000003e-05,2.8647000000000002e-05,2.8597e-05
16,2.9874000000000002e-05,3.0499e-05,3.2001e-05,2.9874000000000002e-05,3.1831e-05,3.1498e-05,3.1471000000000004e-05,3.2083000000000004e-05,2.4938e-05,2.5123000000000003e-05,2.5145e-05,2.4868000000000003e-05,3.0646000000000004e-05,3.0819000000000004e-05,3.1941000000000005e-05,3.1219e-05
32,3.4412e-05,3.5139000000000004e-05,3.9123000000000005e-05,3.6554e-05,3.8102e-05,3.6942e-05,3.7895e-05,3.8975000000000005e-05,2.5758000000000003e-05,2.5576e-05,2.5831e-05,2.5520000000000003e-05,3.6462000000000004e-05,3.6406000000000003e-05,3.8028e-05,3.7644e-05
64,4.3317000000000006e-05,4.3622000000000003e-05,4.9345e-05,4.5413e-05,4.9945000000000004e-05,4.8588e-05,4.9878000000000006e-05,5.2582000000000006e-05,2.5542e-05,2.6000000000000002e-05,2.5914000000000003e-05,2.5874e-05,4.44e-05,4.5462000000000006e-05,5.0727000000000004e-05,4.9775000000000004e-05
128,6.4622e-05,6.480300000000001e-05,8.4653e-05,7.5475e-05,7.904400000000001e-05,7.5567e-05,7.8991e-05,8.349900000000001e-05,3.1293e-05,3.0536e-05,3.1705e-05,3.0412000000000003e-05,6.9526e-05,7.057600000000001e-05,8.1078e-05,7.8275e-05
256,9.897000000000001e-05,0.00010017600000000001,0.00013021000000000002,0.000108924,0.000129693,0.00012181300000000001,0.00012838200000000002,0.00013937000000000002,3.3843e-05,3.3151e-05,3.4148e-05,3.268e-05,0.000107164,0.00011022000000000001,0.000131499,0.000127032
512,0.000167607,0.000173057,0.00022989400000000002,0.000208161,0.00023123900000000003,0.00021679200000000002,0.00022904200000000002,0.000252682,4.2502e-05,4.2222e-05,4.4492e-05,4.2517e-05,0.000191509,0.00019740100000000002,0.000237294,0.000230737
1024,0.000307624,0.00030870400000000003,0.000424585,0.000354907,0.00042988300000000004,0.000398812,0.000425406,0.000473838,5.2142e-05,5.2702000000000005e-05,5.332100000000001e-05,5.2258e-05,0.000331519,0.000352556,0.00044272900000000005,0.00043036
2048,0.000580124,0.0005828410000000001,0.00082912,0.0006820600000000001,0.000827741,0.000764928,0.00082019,0.0009196590000000001,7.7453e-05,7.5388e-05,7.504400000000001e-05,7.529e-05,0.0006245220000000001,0.000677347,0.000860782,0.0008285720000000001
4096,0.001116894,0.0011277840000000002,0.001590882,0.001325136,0.0016184910000000001,0.00147761,0.0015970580000000002,0.001794769,0.00011743200000000001,0.00011696400000000001,0.00011668400000000001,0.00011657,0.001199833,0.00130105,0.001685698,0.001626052
8192,0.002203884,0.002222865,0.0031807830000000004,0.0026157790000000004,0.0031987150000000004,0.002906781,0.0031639050000000003,0.0035525360000000002,0.000203641,0.00020383800000000002,0.000208137,0.000201823,0.0023604140000000003,0.002559006,0.0033329500000000003,0.003210919
16384,0.004349852,0.004417219,0.006291912,0.005184981,0.006436519000000001,0.005802586,0.006292402000000001,0.007103715,0.00036904900000000004,0.000387375,0.00036838400000000003,0.00038734100000000003,0.004700061,0.005120975000000001,0.006634905000000001,0.00638963
32768,0.00894718,0.008806786,0.012581467,0.010370593,0.012910436,0.011603652,0.012624175000000001,0.014164781000000001,0.000820353,0.0008171350000000001,0.000816947,0.0008156490000000001,0.009445769000000001,0.010215958,0.013314128000000001,0.012839251000000001
65536,0.018890998000000003,0.019110348000000003,0.026611862,0.022404463000000003,0.026973806000000003,0.024776292000000002,0.026636127000000002,0.029935747000000002,0.003297836,0.0032679370000000003,0.0033041060000000002,0.0032763000000000002,0.020576527,0.022069125000000002,0.028089183,0.027122888
131072,0.038825081000000004,0.038604362,0.053702558000000004,0.045140609000000005,0.054089330000000005,0.049896341000000004,0.053508886000000006,0.059916024000000005,0.00647408,0.006433975000000001,0.006477572,0.006407467,0.041317093,0.044342344000000006,0.05636362600000001,0.054449250000000005
262144,0.076792836,0.07750884100000001,0.10855943300000001,0.09297735900000001,0.109128735,0.10043228300000001,0.10712887500000001,0.120123825,0.012848707000000001,0.012869738,0.012881876,0.012872221000000001,0.08182848100000001,0.092384066,0.114423152,0.10916489200000001
524288,0.161285966,0.15548366000000002,0.217160814,0.186271128,0.218862737,0.20758817400000001,0.215441183,0.241002142,0.025861322000000003,0.025712979,0.025847435000000002,0.025735007,0.176302337,0.180230352,0.22580749000000003,0.21765719300000003
1048576,0.308720643,0.309333377,0.430927714,0.368104005,0.43879574200000004,0.401979974,0.447893554,0.50792901,0.051590817000000004,0.051630685,0.051652673,0.051469515,0.33648767700000004,0.358978411,0.452072903,0.436499705
2097152,0.6424606270000001,0.6239455700000001,0.862567689,0.7373495290000001,0.8669273500000001,0.8194107650000001,0.855888309,0.95845762,0.10679461100000001,0.10762096400000001,0.10974876200000001,0.109654521,0.6981266700000001,0.748530377,0.918863254,0.9040828780000001
4194304,1.235097264,1.270634552,1.7383202370000002,1.489629019,1.7489449240000001,1.650604111,1.8111249280000001,1.9202362380000002,0.218932956,0.220547182,0.21482019400000002,0.22137065900000003,1.3830854030000002,1.479853882,1.87881158,1.7627194190000002
8388608,2.412621009,2.4890654860000003,3.476876738,2.9381986820000003,3.4690520240000002,3.214818293,3.4240324350000004,3.8898313800000004,0.443499905,0.44356004600000004,0.45294406400000004,0.44308261000000004,2.776443286,2.963314866,3.6566369420000004,3.501425327
16777216,4.959384494,33.33373538,7.114855757000001,6.014897169,7.003857122,6.7521113470000005,6.895459291000001,7.754066813000001,0.890681685,0.885484534,0.911858225,0.8887984350000001,5.862790262000001,6.254865157,7.9580872750000005,31.542492717000002
